IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140358109,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,17:04,TENDERLOIN,NONE,100 Block of EDDY ST,-122.409980995726,37.7842293891524,"(37.7842293891524, -122.409980995726)"
140356573,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,04:15,MISSION,"ARREST, CITED",19TH ST / LEXINGTON ST,-122.42066265999,37.7601472042353,"(37.7601472042353, -122.42066265999)"
140358121,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,04/30/2014,15:50,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407413528628,37.7845520146126,"(37.7845520146126, -122.407413528628)"
140358143,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,04/30/2014,14:00,CENTRAL,NONE,1300 Block of GRANT AV,-122.40715090031,37.7991772199808,"(37.7991772199808, -122.40715090031)"
140358159,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,04/30/2014,17:19,CENTRAL,"ARREST, BOOKED",100 Block of BAY ST,-122.408768474635,37.8062560177663,"(37.8062560177663, -122.408768474635)"
140358171,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,04/30/2014,16:40,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.410768766343,37.7832145190013,"(37.7832145190013, -122.410768766343)"
140358171,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,04/30/2014,16:40,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.410768766343,37.7832145190013,"(37.7832145190013, -122.410768766343)"
140358171,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,16:40,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.410768766343,37.7832145190013,"(37.7832145190013, -122.410768766343)"
140358187,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,04/30/2014,10:40,TENDERLOIN,"ARREST, BOOKED",100 Block of TAYLOR ST,-122.410831672684,37.7833146741427,"(37.7833146741427, -122.410831672684)"
140356589,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,04/30/2014,02:00,CENTRAL,NONE,1000 Block of BUSH ST,-122.415062613301,37.7893936414395,"(37.7893936414395, -122.415062613301)"
